Tanggal,Provinsi,Status,AQI,PM2.5,PM10,Temp,Humid
2/14/2024,Aceh,GOOD,21,5,0,24,89
2/14/2024,Bengkulu,MODERATE,61,17,0,24,98
2/14/2024,Jakarta,GOOD,44,12,4,28,97
2/14/2024,Jambi,GOOD,42,10,0,25,95
2/14/2024,Jawa Barat,MODERATE,92,29,18,22,94
2/14/2024,Jawa Tengah,MODERATE,93,32,0,27,85
2/14/2024,Kalimantan Barat,MODERATE,61,18,8,27,92
2/14/2024,Kalimantan Selatan,MODERATE,56,17,0,26,90
2/14/2024,Kalimantan Tengah,GOOD,31,7,3,27,83
2/14/2024,Kalimantan Timur,GOOD,50,12,0,25,89
2/14/2024,Kepulauan Riau,MODERATE,70,21,0,27,89
2/14/2024,Lampung,MODERATE,76,24,0,24,94
2/14/2024,Papua Barat,GOOD,29,7,0,27,80
2/14/2024,Riau,MODERATE,70,21,0,26,94
2/14/2024,Sulawesi Selatan,MODERATE,61,17,0,28,94
2/14/2024,Sulawesi Tengah,MODERATE,57,15,0,17,98
2/14/2024,Sulawesi Utara,GOOD,38,9,0,16,98
2/14/2024,Sumatera Barat,GOOD,44,11,3,21,96
2/14/2024,Sumatera Selatan,POOR,141,53,0,27,87
2/14/2024,Sumatera Utara,POOR,166,84,0,27,89
2/14/2024,Yogyakarta,MODERATE,74,23,0,24,90
2/15/2024,Aceh,GOOD,38,9,0,25,82
2/15/2024,Bengkulu,MODERATE,76,24,0,25,94
2/15/2024,Jakarta,MODERATE,80,26,6,29,83
2/15/2024,Jambi,GOOD,23,5,0,25,96
2/15/2024,Jawa Barat,MODERATE,70,22,8,24,80
2/15/2024,Jawa Tengah,MODERATE,93,32,0,28,83
2/15/2024,Kalimantan Barat,MODERATE,56,16,14,26,95
2/15/2024,Kalimantan Selatan,MODERATE,70,21,0,32,63
2/15/2024,Kalimantan Tengah,GOOD,39,9,2,26,84
2/15/2024,Kalimantan Timur,MODERATE,55,14,0,28,72
2/15/2024,Kepulauan Riau,MODERATE,74,22,0,27,89
2/15/2024,Lampung,GOOD,50,12,0,26,91
2/15/2024,Papua Barat,GOOD,25,6,0,29,72
2/15/2024,Riau,GOOD,38,9,0,24,99
2/15/2024,Sulawesi Selatan,MODERATE,59,16,0,31,79
2/15/2024,Sulawesi Tengah,MODERATE,57,15,0,24,60
2/15/2024,Sulawesi Utara,GOOD,38,9,0,24,60
2/15/2024,Sumatera Barat,GOOD,23,6,3,21,96
2/15/2024,Sumatera Selatan,POOR,139,52,0,27,91
2/15/2024,Sumatera Utara,MODERATE,78,25,0,28,89
2/15/2024,Yogyakarta,MODERATE,74,22,0,26,83
2/16/2024,Aceh,MODERATE,53,13,0,28,78
2/16/2024,Bengkulu,POOR,122,44,0,24,98
2/16/2024,Jakarta,POOR,116,46,2,29,90
2/16/2024,Jambi,GOOD,50,13,0,26,93
2/16/2024,Jawa Barat,MODERATE,58,16,14,24,82
2/16/2024,Jawa Tengah,MODERATE,93,32,0,26,86
2/16/2024,Kalimantan Barat,GOOD,49,14,7,28,87
2/16/2024,Kalimantan Selatan,MODERATE,68,20,0,29,76
2/16/2024,Kalimantan Tengah,GOOD,25,6,2,28,78
2/16/2024,Kalimantan Timur,GOOD,50,12,0,32,54
2/16/2024,Kepulauan Riau,MODERATE,89,30,0,27,89
2/16/2024,Lampung,GOOD,42,10,0,25,91
2/16/2024,Papua Barat,GOOD,25,6,0,29,71
2/16/2024,Riau,MODERATE,68,20,0,27,89
2/16/2024,Sulawesi Selatan,MODERATE,59,16,0,30,79
2/16/2024,Sulawesi Tengah,MODERATE,57,15,0,22,77
2/16/2024,Sulawesi Utara,GOOD,38,9,0,22,81
2/16/2024,Sumatera Barat,GOOD,37,9,7,25,78
2/16/2024,Sumatera Selatan,POOR,141,53,0,28,87
2/16/2024,Sumatera Utara,POOR,153,59,0,29,75
2/16/2024,Yogyakarta,POOR,105,37,0,27,80
2/17/2024,Aceh,GOOD,50,12,0,30,65
2/17/2024,Bengkulu,MODERATE,53,16,11,25,84
2/17/2024,Jakarta,GOOD,37,9,3,27,94
2/17/2024,Jambi,GOOD,47,12,0,24,98
2/17/2024,Jawa Barat,MODERATE,52,14,10,24,86
2/17/2024,Jawa Tengah,MODERATE,93,32,0,26,85
2/17/2024,Kalimantan Barat,MODERATE,56,15,11,27,88
2/17/2024,Kalimantan Selatan,MODERATE,68,20,0,28,82
2/17/2024,Kalimantan Tengah,GOOD,26,6,2,28,79
2/17/2024,Kalimantan Timur,GOOD,42,10,0,31,58
2/17/2024,Kepulauan Riau,MODERATE,93,32,0,28,84
2/17/2024,Lampung,GOOD,50,12,0,25,91
